"PRO_NUMERO","PRO_NOMBRE","PRO_DOMICI","PRO_LOCALI","PRO_PROVIN","PRO_CODPOS","PRO_TELEFO","PRO_REPRES","PRO_JEFEVE","PRO_CUIT","PRO_CODIVA","PRO_FEULCO","PRO_MONEDA","PRO_ULISTA","PRO_MEMO","PRO_RUBRO","PRO_ZONA","PRO_SALDAC","PRO_CTACTE","PRO_CODGAN","PRO_CPRSUS","PRO_GANAN","PRO_CONVTA","PRO_INGBTO","PRO_INGBRO"
"1202","SILGE ELECTRONICA SACIFEI","AV. MITRE 950","FLORIDA",2,1604,"4730-1001  FAX 4760-4950","BEATRIZ CORONA",,"30-51677790-3",1,15/06/2006,1,,,11,0,"0,00","S",1,"N",6,0,1,
"1203","RODBALL S.A.","SAN MARTIN 1331","SAN MARTIN",2,1651,"4755-0993",,,"30-59791526-4",1,25/06/2009,1,,,11,0,"0,00","S",1,"N",6,0,1,
"1204","P.C.P. URDIDO TEXTIL","ESPORA 4041","SAN MARTIN",2,1652,"4755-4688","SUSANA PETROLI",,"0",8,26/06/2006,1,,,11,0,"0,00","S",4,"N",0,0,1,
"1205","GABRIELA A.DE GENARO","AV.RIVADAVIA 5675 1* ""A""","CAP.FED.",1,1424,"4433-1063",,,"27-18287647-5",8,25/10/2007,1,,,31,0,"0,00","S",4,"N",0,0,1,
"1206","LABORATORIOS LADCO S.A.","CALLE 45 NRO.2486/7","SAN MARTIN",2,1650,"4752-1010 FAX 4753-8273",,,"30-50524103-3",1,11/10/2006,1,,,11,0,"0,00","S",1,"N",0,0,1,
"1207","KRASUK SRL","AV.MITRE 3261","MUNRO",2,1606,,,,"30-65201734-3",1,01/08/2006,1,,,11,0,"0,00","S",1,"N",6,0,1,
"1208","AySA SA  (EX AGUAS ARG.)","PUEYRREDON 4201","SAN MARTIN",2,0,,,,"30-70956507-5",1,12/03/2011,1,,,11,0,"0,00","S",1,"N",6,97,1,
"1209","HANDEL-RED S.A.","AV.A.MOREAU DE JUSTO 1750","CAPITAL FEDERAL",1,1107,"4313-8663",,,"30-70730630-7",1,07/06/2006,1,,,11,0,"0,00","S",1,"N",0,0,1,
"1210","PACO(GS VARIOS)",,,0,0,,,,"0",0,06/04/2010,0,,,11,0,"0,00","S",2,"N",0,0,1,
"1211","QUIMEX SUDAMERICANA S.A.","LARREA 716 P2 ""B""","CAPITAL FEDERAL",1,1030,"4573-5445","MARIELA",,"30-68296896-2",1,01/04/2011,1,,,11,0,"0,00","S",1,"N",6,3,2,
"1212","BIO ANALITICA ARGENTIN SA","FLORIDA 835 1*P.OF.104 A","CAPITAL FEDERAL",1,0,"4515-0117","JUAN SANTAMARIA",,"30-70753876-3",1,13/07/2006,1,,,11,0,"0,00","S",1,"N",6,0,1,
"1213","ELECTRICISTA CLARK OSCAR","ALTE BROWN 4745","V.BALLESTER",2,1653,"4768-0736/NEXTEL 570*4162","OSCAR OLIVIERI",,"0",0,31/08/2006,0,,,11,0,"0,00","S",1,"N",0,0,1,
"1214","NYLTEF S.A.I.C.F.I.","DARWIN 255","BUENOS AIRES",2,1414,"4854-1468 / 4855-9129",,,"30-50485402-3",1,07/07/2006,1,,,11,0,"0,00","S",1,"N",6,0,1,
"1215","TRANSPORTE SUR DE LYS SRL","G.MADARIAGA 1059","AVELLANEDA",2,1823,"4205-8443",,,"30-66363282-1",1,01/02/2011,1,,,11,0,"0,00","S",1,"N",10,3,3,
"1216","SECURITY & BROKERS","AV. ROCA 861","BURZACO",2,1852,"4115-4853",,,"20-14836453-3",1,01/08/2007,1,,,11,0,"0,00","S",1,"N",10,3,1,
"1217","THINNSOL S.A.","MONSEÑOR BUFANO 1848","SAN JUSTO",2,1848,"4461-3311",,,"30-64876562-9",1,09/09/2008,1,,,11,0,"0,00","S",1,"N",6,3,2,
"1218","DIST.LAS NENAS DE ROJAS","PAULA ALBARRACIN 1513","E.ECHEVERRIA",2,1842,"(15)55848-3490",,,"27-27069639-8",1,27/07/2010,1,,,11,0,"0,00","S",1,"N",1,0,1,
"1219","ACUSTICA INTEGRAL","TRIUNVIRATO 4230","SAN JUSTO",2,1754,"4485-5331 / 4461-5155","GERARDO RUBIO",,"20-11443152-5",1,01/10/2007,1,,,11,0,"0,00","S",1,"N",6,3,2,
"1220","LUIS RAMON","ALTE BROWN 826","VILLA BALLESTER",2,1653,"4738-8266",,,"0",0,31/07/2006,1,,,11,0,"0,00","S",2,"N",0,0,1,
"1221","ERIN S.A.","DE L.CONSTITUYENTES 5751","CAPITAL FEDERAL",1,1431,"4573-1313","SEBASTIAN NUBER",,"30-54751671-7",1,24/07/2006,1,,,11,0,"0,00","S",1,"N",1,0,1,
"1222","TECNOTOWER SRL","C.TEJEDOR 1558","FLORIDA",2,1602,"4730-4319","JAVIER LOPEZ",,"30-70906720-2",1,13/01/2011,1,,,11,0,"0,00","S",1,"N",6,3,2,
"1223","ALEJANDRO TANE","RAMON CASTRO 4175","MUNRO",2,1650,"156-3358855",,,"0",0,30/09/2006,0,,,11,0,"0,00","S",1,"N",0,0,1,
"1224","COBUS GROUP S.R.L.","SUIPACHA 207 P1.OF.113","CAPITAL FEDERAL",1,1008,"4322-1004/12/16","CARLOS LOPEZ",,"30-70746412-3",1,15/02/2011,1,,,11,0,"0,00","S",1,"N",10,97,1,
"1225","IPV4 S.R.L.","RODRIGUEZ PEÑA 468 1C","CAPITAL FEDERAL",1,1020,"5252-3069","YAMILA",,"30-71066097-9",1,02/04/2011,1,,,11,0,"0,00","S",1,"N",10,97,3,
"1226","SWISS MEDICAL S.A.","25 DE MAYO 264","CAPITAL FEDERAL",1,0,"0800-777-7800",,,"30-65485516-8",1,20/12/2007,1,,,11,0,"0,00","S",1,"N",1,97,1,
"1227","ESCRIBANIA MORELLO","CALLE 91 N*1972 2*OF""17""","SAN MARTIN",2,1650,"4755-0343","4755-2620",,"20-13754702-4",1,04/04/2011,1,,,31,0,"0,00","S",1,"N",8,97,3,
"1228","EXPEDICION GASTOS","26 DE JULIO 4767","VILLA BALLESTER",2,0,,"EDUARDO MENDOZA",,"0",0,19/12/2008,0,,,11,0,"0,00","S",1,"N",1,0,1,
"1229","SANTOS PABLO",,,0,0,,,,"0",0,19/07/2007,0,,,901,0,"0,00","S",1,"N",0,0,1,
"1230","GERARDO A. ENRICO","TALCAHUANO 1071 6* ""D""","CAPITAL FEDERAL",1,1013,"4824-6570",,,"20-07625138-0",1,09/10/2007,1,,,11,0,"0,00","S",1,"N",6,97,1,
"1231","TECNICAS INDUSTRIALES SRL","JUJUY 1829","AVELLANEDA",2,0,"5724-6792",,,"30-70895186-9",1,27/12/2006,1,,,11,0,"0,00","S",1,"N",6,97,1,
"1232","MOTORED DE GERARDO KUHN","DR.ALEU (CALLE 69) NRO.72","VILLA BALLESTER",2,1653,"4768-7352 / 4847-1305","GERARDO GUILLERMO KUHN",,"20-14204564-9",1,31/12/2006,1,,,11,0,"0,00","S",1,"N",10,97,1,
"1233","ESTACION DE SERVICIO YPF","AV. PRIMERA JUNTA 3263","MUNRO",2,1605,,,,"30-69126808-6",1,21/03/2007,1,,,23,0,"0,00","N",1,"N",1,97,1,
"1234","INSUMOTEC SRL","FCO. AGUIRRE 2500","SAN MIGUEL DE TUCUMAN",16,4000,"011-4823-6511",,,"30-70825039-9",1,27/12/2006,1,,,11,0,"0,00","S",1,"N",6,97,1,
"1235","TODO CLIMA INDUSTRIAL SA","LAVALLE 1072 PB 2","QUILMES",2,1878,"4254-9063","ALBERTO CANULLO",,"30-70955940-7",1,03/03/2011,1,,,16,0,"0,00","S",1,"N",10,3,3,
"1236","INDUSTRIAS PREGLIASCO SH","MARMOL 1023","LANUS",2,1824,"4240-7537","HECTOR/DANIEL PREGLIASCO",,"30-66355553-3",1,01/09/2010,1,,,16,0,"0,00","S",1,"N",6,3,3,
"1237","SISTEMAS DE RUBEN COBIAN","H.YRIGOYEN 835","GRAL.PACHECO",2,1617,"155-3223749",,,"30-69627592-7",1,28/10/2006,1,,,18,0,"0,00","S",1,"N",6,98,1,
"1238","CEMIBA MEDICINA LABORAL","M.T.DE ALVEAR 2089","CAPITAL FEDERAL",1,1122,"4821-6333 FAX:4824-0448",,,"33-55601807-9",1,01/04/2011,1,,,11,,,"S",1,"N",10,3,3,
"1239","RODOLFO JOSE ZELLNER","JUAN DE LA BRUYERE 1351","DEL VISO",2,1669,"02320-476766/155-429-1877",,,"20-12740755-0",1,19/01/2010,1,,,11,0,"0,00","S",1,"N",6,3,3,
"1240","EQA S.A.I.C.","CAMARONES 2741","CAPITAL FEDERAL",1,1416,"4582-3009 4585-5009","EDUARDO ANTOSZKIW",,"0",1,29/01/2008,0,,,11,0,"0,00","S",1,"N",0,97,1,
"1241","OSDE","AV.LEANDRO N. ALEM 1067","CAPITAL FEDERAL",1,1001,"4809-7385",,,"30-54674125-3",1,31/03/2011,1,,,39,0,"0,00","S",1,"N",12,97,1,
"1242","TECNOS DE BLUHM","CALLE 106 5336","V.BONICH - SAN MARTIN",2,1650,"4738-9489 15-4557-9224",,,"20-92500065-6",1,08/11/2006,1,,,11,0,"0,00","S",1,"N",10,95,1,
"1243","SUPER COMERCIAL S.A.","RUTA 8 KM 47.500 Y CHILE","PILAR",2,1629,"02322-44-1000","ADRIAN 631*284 1535460870",,"30-70748511-2",1,13/11/2008,1,,,11,0,"0,00","S",1,"N",6,97,2,
"1244","EL NUEVO PUNTO 0","CABILDO 4927","VILLA BALLESTER",2,1653,"4764-0242 / 4738-4167",,,"20-29229460-4",8,07/05/2009,1,,,11,0,"0,00","S",1,"N",10,3,3,
"1245","AISLACIONES SAN MARTIN","AV.DR.R.BALBIN 2209","SAN MARTIN",2,1650,"4752-3237 / 4713-8081","NESTOR MASSOIA",,"20-11324924-3",1,19/10/2010,1,,,11,0,"0,00","S",1,"N",6,97,1,
"1246","PLASTICOS GAUBO","GUAMINI 3494/98","CASTELAR",2,1712,"4623-9735 / 4458-5101","CLAUDIA OLGA GAUDENCIO",,"27-16425830-6",1,30/11/2006,1,,,11,0,"0,00","S",1,"N",6,3,1,
"1248","CEAMSE","AV.AMANCIO ALCORTA 3000","CAPITAL FEDERAL",1,1437,,,,"30-57720719-0",1,29/12/2006,1,,,11,0,"0,00","N",4,"N",12,97,1,
"1251","FUSION INDUSTRIAL S.A.","VIRREY LINIERS 1256/60","CAPITAL FEDERAL",1,1241,"4931-9097","YESICA VALERIO",,"30-70737189-3",1,24/11/2006,1,,,11,0,"0,00","S",1,"N",6,3,1,
"1252","CONTRO.ELECT.INDUST.SRL","LARRAYA 2783/2785","CAPITAL FEDERAL",1,1439,"4602-6436/4638-1766","JUANA",,"30-54789371-5",1,14/04/2008,1,,,11,0,"0,00","S",1,"N",10,97,1,
"1253","ESCANORT S.A.","SAN MARTIN 1955","FLORIDA",2,1602,"4795-3124","DANIEL QUATTRIN",,"30-61726488-5",1,05/12/2006,1,,,16,0,"0,00","S",1,"N",6,97,1,
"1254","PLAVINIL ARGENTINA SAIC","TIMOTEO GORDILLO 5490","CAPITAL FEDERAL",1,1439,"4605-4042",,,"30-50250875-6",1,01/01/2011,1,,,11,0,"0,00","S",1,"N",6,3,1,
"1255","ALTRON SRL","ALLENDE 1958","CAPITAL FEDERAL",1,1407,"4639-7006/6950",,,"30-64596884-7",1,,1,,,11,0,"0,00","S",1,"N",6,95,1,
"1256","SECAIRE S.A.","C.JOSE INDART 3322","SAN JUSTO",2,1754,"4651-8262",,,"30-57493295-1",1,25/09/2010,1,,,11,0,"0,00","S",1,"N",6,3,1,
"1257","COTIGRAF S.A.","JOSE I. RUCCI 2533/45","LANUS OESTE",2,1824,"4208-2428/0837",,"JUAN  NUÑEZ","30-57334721-4",1,26/12/2006,1,,,11,0,"0,00","S",1,"N",6,3,1,
"1258","EDESAL S.A.","AV. ESPAÑA 430","SAN LUIS",6,5700,"0800-222-333725",,,"30-65901405-6",1,13/04/2011,1,,,12,0,"0,00","S",1,"N",10,97,1,
"1259","REPUESTOS Y SERVICIOS SA","PRINGLES 4249","FLORIDA - VICENTE LOPEZ",2,0,"4760-6917",,,"30-69959608-2",1,01/12/2007,1,,,11,0,"0,00","S",1,"N",6,3,2,
"1260","BALTEC DE JORGE PAREDES","TARIJA 3309","CAPITAL FEDERAL",1,1253,"4956-0705",,,"20-17682879-0",8,31/10/2008,1,,,11,0,"0,00","S",1,"N",10,97,1,
"1260","BALTEC DE JORGE PAREDES","TARIJA 3309","CAPITAL FEDERAL",1,1253,"4957-0607","JORGE PAREDES",,"20-17682879-0",8,11/01/2007,1,,,11,0,"0,00","S",1,"N",10,97,1,
"1261","LONERA LEO DE ACEVEDO","ILLIA 1653","BELLA VISTA",2,1661,"4666-0823","CLAUDIO ACEVEDO",,"0",1,30/04/2009,1,,,11,0,"0,00","S",1,"N",0,3,1,
"1262","BRACAMONTE ALDO","18 DE DICIEMBRE 1673","SAN MARTIN",2,1653,"4753-8314",,,"20-10144016-9",1,31/12/2007,1,,,11,0,"0,00","S",1,"N",1,3,1,
"1263","ESTACION YPF A.C.A.","PUEYRREDON 301","VILLA BALLESTER",2,1653,"4768-0505",,,"30-57449281-1",1,21/03/2007,1,,,11,0,"0,00","N",1,"N",1,97,1,
"1264","GOLD CLEAN S.R.L.","GAVILAN 2384","CAPITAL FEDERAL",1,1416,"4586-0024",,,"30-70896203-8",1,27/11/2008,1,,,11,0,"0,00","S",1,"N",6,97,1,
"1265","IP ETIQUETAS S.A.","INT.ING.CARMONA 2345","BURZACO",2,1852,"4238-2211",,,"30-70993980-3",1,23/02/2011,1,,,11,0,"0,00","S",1,"N",6,97,2,
"1266","FLOWVAL S.R.L.","MIRANDA 4554","CAPITAL FEDERAL",1,1407,"4639-8455",,,"30-68581679-9",1,06/04/2010,1,,,11,0,"0,00","S",1,"N",6,3,1,
"1267","FADAC S.A.","CALLE 91 NRO. 232","SAN MARTIN",2,1672,"4755-5479 FAX 4754-2870","SUSANA",,"30-50073605-0",1,26/05/2009,1,,,11,0,"0,00","S",1,"N",6,97,1,
"1268","MARONI Y CIA S.A.","24 DE NOVIEMBRE 1763/69","CAPITAL FEDERAL",1,1242,"4911-2424",,,"30-50092949-5",1,24/04/2009,1,,,11,0,"0,00","S",1,"N",10,95,1,
"1269","TECNO IND. AMERICANA S.A.","ECHEVERRIA 3400","DON TORCUATO",2,1009,"4741-0401","JUAN CARLOS",,"30-61939109-4",1,10/04/2008,1,,,11,0,"0,00","S",1,"N",6,95,1,
"1270","JR RODAMIENTOS DE LAMELA","AV.JUAN B.JUSTO 7135","CAPITAL FEDERAL",1,1407,"4674-4433 FAX 4672-4793","JORGE LAMELA",,"20-11424705-8",1,01/04/2008,1,,,11,0,"0,00","S",1,"N",6,95,1,
"1271","SERVICE NORTE DE BERTONE","LOS CEIBOS 1585","VILLA ADELINA",2,1607,"4766-4946 (15-4-472-1290)","ROBERTO LUIS BERTONE",,"23-10711820-9",1,29/07/2010,1,,,11,0,"0,00","S",1,"N",10,97,1,
"1272","INDUST.TECNO.ARGENTINA SA","CRISOLOGO LARRALDE 3607","AVELLANEDA",2,1870,"4207-9567","JOSE DE BRITO",,"30-70732466-6",1,01/03/2011,1,,,11,0,"0,00","S",1,"N",6,95,1,
"1273","TRANSPALET S.A.","URUGUAY 141","CAPITAL FEDERAL",1,1037,"4371-3770 FAX 4814-4727","LEONARDO SOSA",,"30-70936189-5",1,08/09/2009,1,,,11,0,"0,00","S",1,"N",6,3,2,
"1274","DG SERV.ELECT.de J.NUNEZ","TRAFUL 3650","CAPITAL FEDERAL",1,1439,"4604-2398/15-6-1504287","JORGE NUÑEZ",,"20-22278994-0",1,17/03/2010,1,,,11,0,"0,00","S",1,"N",10,97,1,
"1275","GONZALEZ NELSON RICARDO","DEHEZA 4872","CAPITAL FEDERAL",1,1430,"15-5-9301412",,,"20-92006819-8",8,13/06/2007,1,,,11,0,"0,00","S",1,"N",10,97,1,
"1276","JORGE GONZALEZ",,,0,0,"4-759-1886",,,"0",0,31/08/2007,0,,,11,0,"0,00","S",1,"N",0,97,1,
"1277","RODACO ARGENTINA S.A.","LAPRIDA 745","AVELLANEDA",2,1871,"4201-5475 / 4201-6234","DAVID MAGRO",,"30-70701865-4",1,02/11/2010,1,,,11,0,"0,00","S",1,"N",6,97,1,
"1278","GRAMABI DE CHIRILLO","ROQUE SAENZ PEÑA 3727","LOMAS DEL MIRADOR",2,1752,"4652-7300","CHIRILLO GRACIELA MARIA",,"27-11352126-6",1,,1,,,11,0,"0,00","S",1,"N",6,97,1,
"1279","ACEM SRL","MARIANO MORENO 3966","VILLA DOMINICO",2,1872,"4207-8832/8123","JAVIER",,"30-66219516-9",1,14/05/2007,1,,,11,0,"0,00","S",1,"N",10,97,1,
"1280","SILQUI-TEX S.R.L.","CARLOS VILLATE 5762/64","MUNRO",2,1605,"4762-2157/1544294619","SILVIO / HECTOR",,"33-64453617-9",1,01/03/2011,1,,,11,0,"0,00","S",1,"N",6,97,2,
"1281","TINTA.COM SRL","POGIO 719","VILLA BOSCH",2,1682,"4844-0737",,,"30-70971277-9",1,12/10/2010,1,,,11,0,"0,00","S",1,"N",6,97,1,
"1282","COMPAÑIA AMERICANA S.A.","LARREA 353","BOULOGNE",2,1609,"4766-5620/4765-8030","MARIANO SISTE",,"30-69880607-5",1,18/03/2011,1,,,11,0,"0,00","S",1,"N",10,18,1,
"1283","ELECTROMECANICA TORINO","DIAGONAL 76 Nª1434","VILLA ZAGALA",2,1651,"4-753-1447",,,"20-15239212-6",1,05/05/2010,1,,,11,0,"0,00","S",1,"N",10,3,3,
"1284","PAYO Y CIA. SRL","TRAFUL 3842","CAPITAL FEDERAL",1,1437,"4911-0408/1729/2546","ESTEBAN PAYO",,"30-52232174-1",1,05/03/2010,1,,,11,0,"0,00","S",1,"N",6,3,1,
"1285","A.L.G.INDUMENTARIAS SRL","AV.VELEZ SARSFIELD 4614","MUNRO",2,1605,"4756-3813/4721-0529","OSVALDO BALLATO","ALDO / EDGARDO","30-70701475-6",1,01/12/2010,1,,,11,0,"0,00","S",1,"N",6,97,1,
"1286","SAFE ZONE S.A.","BELGRANO 3840 1*PISO","SAN MARTIN",2,1650,"4713-3456",,,"30-70771725-0",1,01/01/2008,1,,,23,0,"0,00","S",1,"N",10,97,1,
"1287","CIELORRASOS SAN FRANCISCO","JOSE HERNANDEZ 4193","VILLA BALLESTER",2,1653,"4768-4007/4767-1004","ROBERTO TOLOSA",,"30-70913828-2",1,12/11/2007,1,,,11,,,"S",1,"N",10,3,1,
"1288","DALGAR S.A.","RUTA TRADICION 7168","ESTEBAN ECHEVERRIA",2,1839,"4693-0501 AL 07","DARIO GARCIA",,"30-58974726-3",1,22/05/2008,1,,,11,,,"S",1,"N",12,95,2,
"1289","INDUSTRIAS MOVILIFT SRL","AV. SAN MARTIN 7188/90","CAPITAL FEDERAL",1,1419,"4501-9664/4502-5857",,,"30-70944302-6",1,29/10/2010,1,,,16,,,"S",1,"N",6,3,2,
"1290","ROPERIAS INDUSTRIALES SA","MIGUEL CANE 1189","LANUS OESTE",2,1824,"4249-2546/4241-3772","RAUL/PEDRO",,"30-61502312-0",1,18/02/2008,1,,,11,,,"S",1,"N",6,3,1,
"1291","MICROSYSTEMS","AV.SCALABRINI ORTIZ 389","CAPITAL FEDERAL",1,1414,"4855-2101/4855-3684","QUILICI C. Y CHICAR L.",,"30-64015161-3",1,19/04/2011,1,,,11,,,"S",1,"N",10,3,3,
"1292","BRAULIO MARCELO SELLANES","RECONQUISTA 575-1*PISO""C""","CAPITAL FEDERAL",1,1003,"4315-6090/FAX 6092",,,"20-07377715-2",1,18/12/2009,1,,,11,,,"S",1,"N",8,98,1,
"1293","AUTOMOTORES EL ARCO SH","AV.RICARDO BALBIN 4691","VILLA BALLESTER",2,1653,"4768-3572/4767-1746","HUGO Y CRISTIAN","JOSE GOMEZ","30-68160317-0",1,11/01/2008,1,,,16,,,"S",1,"N",6,3,2,
"1294","IMTECK ARGENTINA S.A.","CALLE 103 NRO. 4750","VILLA BALLESTER",2,1653,"4768-2044","AGUSTIN GARCIA","SRA.LILA","30-70814921-3",1,19/05/2009,1,,,11,,,"S",1,"N",6,3,2,
"1295","ROSMINO Y CIA. S.A.","LACROZE 6019 (EX 915)","VILLA BALLESTER",2,1653,"4768-1900","JAVIER LEDESMA","JORGE SALABARRIA","30-54087383-2",1,01/04/2011,1,,,11,,,"S",1,"N",6,3,3,
"1296","AGUAS BONAERENSES SA.","CJAL.ROSSET 587","MORENO",2,1744,"0800-333-2422",,,"30-70791990-2",1,01/11/2010,1,,,11,,,"N",1,"N",,97,1,
"1297","LUCIANO AGUADO","OVIDIO LAGOS 1299","ROSARIO",8,2000,"0341-421-2022 / 424-8707","LUCIANO AGUADO",,"23-22535127-9",1,01/09/2010,2,,,16,,,"S",1,"N",6,3,1,
"1298","JUAN WEINBINDER",,,,,,"JORGE MELLI",,"0",,27/11/2008,1,,,11,,,"S",1,"N",1,,1,
"1299","KONOVAL FRANCISCO","CANGALLO 6857","WILDE",2,1875,"4246-1306","FRANCISCO KONOVAL",,"23-15293932-9",1,06/10/2008,1,,,11,,,"S",1,"N",10,3,3,
"1300","AUSTUM CHEMICAL S.A.","AV.OLIMPO 2020","9 DE ABRIL-E.ECHEVERRIA",2,1839,,,,"30-70931909-0",1,01/12/2009,1,,,11,,,"S",1,"N",6,3,2,
"1301","TACONIC DE DIEGO BARONI","R.CASTRO 4707","MUNRO",2,1605,"4756-6140/1555","DIEGO FERNANDO BARONI",,"23-26522789-9",1,27/05/2008,1,,,11,,,"S",1,"N",6,3,2,
"1302","TECNICA CD&C S.R.L.","ZAMUDIO 338","SARANDI-AVELLANEDA",2,1872,"4265-3139","ALDO GIULANI",,"30-70931249-5",1,06/10/2010,1,,,11,,,"S",1,"N",10,3,3,
"1303","TELECOM PERSONAL S.A.","MIGUELETES 2423","CAPITAL FEDERAL",1,1428,,,,"30-67818644-5",1,14/04/2011,1,,,22,,,"S",1,"N",12,97,1,
"1304","TAVIGOSA S.A.","MINISTRO BRIN 2655 6*""A""","LANUS OESTE",2,1824,"4225-7153",,,"30-71006647-3",1,02/06/2008,1,,,21,,,"S",1,"N",10,3,3,
"1305","MEDICARDIO S.R.L.","ALSINA 2115 1*PISO","VILLA BALLESTER",2,1653,"4738-2356/2357","ROSA/WALTER/MABEL","GABRIELA","30-61243097-3",1,01/03/2011,1,,,11,,,"S",1,"N",10,97,3,
"1306","VIMI S.A.","MANUELA PEDRAZA 2560 7*A","CAPITAL FEDERAL",1,1429,"4751-3284",,,"30-59505655-8",1,14/07/2008,1,,,11,,,"S",1,"N",6,3,2,
"1307","ZINGUERIA GIANNOTTI S.A.","RUTA NACIONAL 8 NRO.2905","SAN MARTIN",2,1650,"4755-6533",,,"30-70805391-7",1,25/09/2008,1,,,11,,,"S",1,"N",6,97,2,
"1308","ASTEMAC DE GHIGLIAZZA","LACARRA 1880","CASTELAR",2,1712,"155-477-4952","MARCOS NICOLAS GHIGLIAZZA",,"20-25047571-4",1,01/03/2011,1,,,11,,,"S",1,"N",10,3,3,
"1309","ROBIN Y CIA SRL","SARGENTO CABRAL 1957","RAMOS MEJIA",2,1704,"4657-2323",,,"30-59924355-7",1,21/11/2008,1,,,11,,,"S",1,"N",1,3,3,
"1310","LA CASA DEL ADHESIVO","QUEVEDO 3592 3*""6""","CAPITAL FEDERAL",1,1419,"4568-6852/15-4187-5001","NESTOR MAGIO",,"20-07591647-8",1,25/10/2010,1,,,11,,,"S",1,"N",6,3,2,
"1311","PETTER-LUZ DE PETTERUTI","EVA PERON 4575","VILLA BONICH",2,1650,"4764-4021","ANGEL ALFREDO PETTERUTI",,"20-10518199-0",1,12/01/2010,1,,,11,,,"S",1,"N",6,3,2,
"1312","TECNOSIM S.A.","AV.F.F.DE LA CRUZ 3480","CAPITAL FEDERAL",1,1437,"4918-8509",,,"30-70829363-2",1,04/08/2009,1,,,11,,,"S",1,"N",6,3,2,
"1313","CIA.QUIMICA Y AGRO.ARG.SA","CALLE 119 NRO. 3488","VILLA BONICH",2,1650,"4767-2896",,,"30-70853668-3",1,07/04/2011,1,,,11,,,"S",1,"N",6,3,2,
"1314","TEC MACHINE DE NIEVES","WARNES 2383","CAPITAL FEDERAL",1,1427,"45550151","CRISTIAN MITALOUSKI",,"20-60343726-9",1,08/02/2011,1,,,11,,,"S",1,"N",10,97,3,
"1315","SUREMIS DE MOSSUTO ANGEL","JOSE HERNANDEZ 3702","VILLA BALLESTER",2,1653,"4849-0423",,,"20-14518852-1",8,11/11/2010,1,,,11,,,"S",1,"N",10,3,3,
"1316","ESCRIBANIA ELISA MORELLO","CALLE 91 NRO.1972","SAN MARTIN",2,1650,"4755-0343",,,"27-14768810-0",1,01/05/2009,1,,,11,,,"S",1,"N",10,3,1,
"1317","PANIMEX QUIMICA S.A.","MONTEVIDEO Y LA PORTADA","BERISSO",2,1923,,,,"30-70991218-2",1,01/03/2009,2,,,11,,,"S",1,"N",6,3,2,
"1318","V.H.DISTRIBUCIONES S.R.L.","LINNEO 2085","CAPITAL FEDERAL",1,1416,"4584-1224",,,"30-70735016-0",1,23/02/2009,1,,,11,,,"S",1,"N",6,3,2,
"1319","FLEXA ADHE.Y REC. S.R.L.","ALBERTI 101","MERLO",2,1722,"0220-4858150","ALBERTO FERNANDEZ",,"30-67924206-3",1,01/04/2011,1,,,11,,,"S",1,"N",6,3,2,
"1320","INDUSTRIAS CONTARDO SAIYC","MONSEÑOR BUFANO 3969","SAN JUSTO",2,1754,"4480-2100 (INT.31)","NATALIA","9 HS. A 11.30 HS.","30-56866412-0",1,14/12/2010,1,,,11,,,"S",1,"N",6,3,1,
"1321","ELECTRO SAN MARTIN S.R.L.","SAN LORENZO 2279","SAN MARTIN",2,1650,"4754-3924/4755-5553","HECTOR BALBOA",,"33-57324539-9",1,06/04/2011,1,,,11,,,"S",1,"N",6,3,2,
"1322","CORPORACION LODRA S.R.L.","GIRARDOT 1681","CAPITAL FEDERAL",1,1427,"4553-3529",,,"30-63256071-7",1,20/10/2009,1,,,11,,,"S",1,"N",6,3,2,
"1323","GRIVELLI S.R.L.","AV. SAENZ 1395/97","CAPITAL FEDERAL",1,1437,"4919-7677/2821","LEANDRO RENZULLO",,"30-70966831-1",1,19/10/2009,2,,,11,,,"S",1,"N",6,97,2,
"1324","ZIVOT DE FABIAN A. MAITA","MITRE 3885, PISO 5 OF.4","SAN MARTIN",2,1650,"4753-4113","FABIAN A. MAITA",,"20-20464393-9",1,02/11/2009,1,,,11,,,"S",1,"N",10,3,3,
"1325","POLICROMOS S.R.L.","SAN LORENZO 69 OF.""B""","RAMOS MEJIA",2,1704,"4464-3700",,,"30-70921503-1",1,12/11/2009,1,,,11,,,"S",1,"N",6,3,2,
"1326","BEOTON S.R.L.","CALLE 160 NRO.1379","BERAZATEGUI",2,1884,"4256-7508",,,"30-70949390-2",1,01/11/2010,1,,,11,,,"S",1,"N",6,3,2,
"1327","AFOR BULONES SRL","JOAQUIN V.GONZALEZ 1086","CAPITAL FEDERAL",1,1407,"4672-0106",,,"30-71076144-9",1,27/04/2010,1,,,11,,,"S",1,"N",6,3,2,
"1328","COPYLITE SRL","S.DE BUSTANTE 82","CAPÌTAL FEDERAL",1,1174,"4864-7850",,,"30-61878929-9",1,26/07/2010,1,,,16,,,"S",1,"N",6,3,2,
"1329","INGEX DE BADIN DEMIAN","JURAMENTO 1888","VILLA ADELINA",2,1607,"15-6664-9798",,,"20-29118813-4",1,09/12/2010,1,,,11,,,"S",1,"N",10,3,3,
"1330","GASATEX S.A.","CAPDEVILA 175","VILLA BALLESTER",2,2,"4738-3883",,,"30-64441641-7",1,01/04/2011,1,,,11,,,"S",1,"N",6,3,2,
